Name,Medium,Type,Secondary Type,Tertiary Type,Product Name,Username,Manufacturer,Model,Developer,Author,Editor,Publisher,Language,Year,Original Price,Identifying Number,Floppy Drive,Optical Drive,Hard Disk Drive,RAM,CPU,External Connections,Internal Connections,Operating System,Compatibility,Accession Number,Date Tested,Donor,notes,Author,Theme,image,360_image
Microsoft TASC The Applesoft Compiler - Manual,Printed Matter,Manual,User,PC/Windows,Manual: Microsoft TASC The Applesoft Compiler,,,,,,,,English,,,,,,,,,,,,,2013.10.40,,Brad Feld,,,,,
Microsoft Macro 80 Guide,Printed Matter,Manual,User,PC/Windows,Microsoft Macro 80 Guide,,,,,,,,English,,,,,,,,,,,,,2013.10.41,,Brad Feld,,,,,
Microsoft COBOL-80 - User’s Guide,Printed Matter,Manual,User,PC/Windows,Microsoft COBOL-80 - User’s Guide,,,,,Microsoft,,Microsoft,English,1980,,8304-401-01,,,,,,,,,,2013.10.42,,Brad Feld,Photocopied pages in legal folder.,,,,
Apple Assembly Language Development System: An Assembler/Editor/Formatter (User’s Manual),Printed Matter,Manual,User,"Apple Computer, Inc.",Apple Assembly Language Development System: An Assembler/Editor/Formatter (User’s Manual),,,,,Paul Lutus,,Hayden Book Company,English,1980,,4609,,,,,,,,,,2013.10.43,,Brad Feld,Photocopied pages in legal folder. Accompanies “Hayden Microcomputer Program Disks” (not included in folder).,,,,
Macworld (Clippings from Various Issues),Printed Matter,Periodical,Narrow Topic,"Apple Computer, Inc.",Macworld (Clippings from Various Issues),,,,,,,PC World Communications,English,,,,,,,,,,,,,2013.10.44,,Brad Feld,Clippings from multiple issues. Combined in legal folder.,,,,
"InfoWorld - Volume 7, Issue 25 - June 24, 1985",Printed Matter,Periodical,Broad Topic,General Computing,"InfoWorld - Volume 7, Issue 25 - June 24, 1985",,,,,,,Popular Computing,English,1985,,ISSN 0199-6649,,,,,,,,,,2013.10.49,,Brad Feld,,,,,
Physicians and Computers - Vol. 3 No. 2 - June 1985,Printed Matter,Periodical,Journal,Industry,Physicians and Computers - Vol. 3 No. 2 - June 1985,,,,,,,P & C Publications,English,1985,,,,,,,,,,,,2013.10.50,,Brad Feld,,,,,
"PC Tech Journal - Vol. 3, No. 10 - October 1985",Printed Matter,Periodical,Narrow Topic,PC,"PC Tech Journal - Vol. 3, No. 10 - October 1985",,,,,,,Ziff-Davis Publishing Company,English,1985,,ISSN 0738-0194,,,,,,,,,,2013.10.51,,Brad Feld,,,,,
Model PC-8041A Schematic Diagram,Printed Matter,Manual,Service,Schematic,Model PC-8041A Schematic Diagram,,,,,,,,English,,,,,,,,,,,,,2013.10.52,,Brad Feld,,,,,
BASIC for the Apple II: Programming and Applications,Printed Matter,Book,Reference,BASIC,BASIC for the Apple II: Programming and Applications,,,,,Larry Joel Goldstein and Martin Goldstein,,Robert J. Brady Co.,English,1982,, 0-89303-189-5,,,,,,,,,,2013.10.63,,Brad Feld,,,,,
Apple IIe - Guide to the New Features,Printed Matter,Manual,User,"Apple Computer, Inc.",Apple IIe - Guide to the New Features,,,,,"Apple Computer, Inc.",,"Apple Computer, Inc.",English,1982,,A2F2114,,,,,,,,,,2013.10.64,,Brad Feld,,,,,
6502: Assembly Language Subroutines,Printed Matter,Book,Reference,Assembly,6502: Assembly Language Subroutines,,,,,Lance A. Leventhal and Winthrop Saville,,Osborne/McGraw-Hill,English,1982,, 0-931988-59-4,,,,,,,,,,2013.10.65,,Brad Feld,,,,,
Apple Writer Manual,Printed Matter,Manual,User,"Apple Computer, Inc.",Apple Writer Manual,,,,,"Apple Computer, Inc.",,"Apple Computer, Inc.",English,1979,,,,,,,,,,,,2013.10.66,,Brad Feld,Information. DIY made. Possible lost cover prior to acquisition.,,,,
Apple BASIC: Data File Programming,Printed Matter,Book,Reference,BASIC,Data File Programming,,,,,LeRoy Finkel and Jerald R. Brown,,John Wiley & Sons,English,1982,, 0-471-09157-X,,,,,,,,,,2013.10.67,,Brad Feld,,,,,
IBM PC Compatible - BitCom: A Communications Program for IBM PC - User Manual,Printed Matter,Manual,User,IBM,IBM Compatible - BitCom: A Communications Program for IBM PC - User Manual,,,,,Everex,,Everex,English,1985,,MAN-00032-00,,,,,,,,,,2013.10.68,,Brad Feld,Original unbound pages in legal folder.,,,,
Microcomputer: Problem Solving Using PASCAL,Printed Matter,Book,Reference,Programming,Microcomputer: Problem Solving Using PASCAL,,,,,Kenneth L. Bowles,,Springler-Verland (New York),English,1977,,0-387-90286-4,,,,,,,,,,2013.10.69,,Brad Feld,,,,,
