[Title],Medium,Type,Title,Author,Editor,Translator,Publisher,Year,Language,Genre,ISBN / Identifying Number,Accession #,Donor,Notes
"[Family Computing - Volume 4\, Number 2 - February 1986]",Printed Matter,Magazine,"Family Computing - Volume 4\, Number 2 - February 1986",N/A,Claudia Cohl,N/A,Scholastic Inc.,1986,English,Computer Magazine,76956-14008,2013.07.846,Timothy P. Sweeney,
"[Family Computing - Volume 4\, Number 5 - May 1986]",Printed Matter,Magazine,"Family Computing - Volume 4\, Number 5 - May 1986",N/A,Claudia Cohl,N/A,Scholastic Inc.,1986,English,Computer Magazine,76956-14008,2013.07.845,Timothy P. Sweeney,
"[Family Computing - Volume 4\, Number 6 - June 1986]",Printed Matter,Magazine,"Family Computing - Volume 4\, Number 6 - June 1986",N/A,Claudia Cohl,N/A,Scholastic Inc.,1986,English,Computer Magazine,76956-14008,2013.07.844,Timothy P. Sweeney,
"[Family Computing - Volume 4\, Number 8 - August 1986]",Printed Matter,Magazine,"Family Computing - Volume 4\, Number 8 - August 1986",N/A,Claudia Cohl,N/A,Scholastic Inc.,1986,English,Computer Magazine,76956-14008,2013.07.843,Timothy P. Sweeney,
"[Filevision Magazine - Volume 1\, Number 3\, Fall 1985]",Printed Matter,Magazine,"Filevision Magazine - Volume 1\, Number 3\, Fall 1985",Filevision,Darline Aryai,N/A,Telos Software Products,1985,English,Computer Magazine,N/A,2013.10.91,Brad Feld,
[Hewlett Packard Computer Users Catalog - Spring/Summer 1985],Printed Matter,Magazine,Hewlett Packard Computer Users Catalog - Spring/Summer 1985,N/A,N/A,N/A,Hewlett Packard,1985,English,Computer Catalog,4/85 5953-2450D,2013.07.487,Julie Gemmell,
[Hewlett Packard Computer Users Catalog - Summer 1986],Printed Matter,Magazine,Hewlett Packard Computer Users Catalog - Summer 1986,N/A,N/A,N/A,Hewlett Packard,1986,English,Computer Catalog,6/86 5953-2461D,2013.07.486,Julie Gemmell,
[Hewlett Packard Computer Users Catalog - Summer 1987],Printed Matter,Magazine,Hewlett Packard Computer Users Catalog - Summer 1987,N/A,N/A,N/A,Hewlett Packard,1987,English,Computer Catalog,5/87 5953-2450D,2013.07.485,Julie Gemmell,
[The HP Personal Computer Plotters and the HP 150 Personal Computer Graphics Software Guide],Printed Matter,Magazine,The HP Personal Computer Plotters and the HP 150 Personal Computer Graphics Software Guide,Hewlett Packard,N/A,N/A,N/A,Oct 1984,English,Informational,(11)5953-9791 (D),2013.07.488,Julie Gemmell,
[IEEE Spectrum 2003],Printed Matter,Magazine,IEEE Spectrum,N/A,N/A,N/A,"The Institute of Electrical and Electronics Engineers\, Inc.",2003,English,Informational,,2014.10.54,,
"[InfoWorld - Volume 7\, Issue 25 - June 24\, 1985]",Printed Matter,Magazine,"InfoWorld - Volume 7\, Issue 25 - June 24\, 1985",N/A,J. Michael Lowe,N/A,Popular Computing,1985,English,Computer Magazine,ISSN 0199-6649,2013.10.49,Brad Feld,
[Jameco Electronics Catalogue 1988],Printed Matter,Magazine,Jameco Electronics Catalogue 1988,,,,Jameco Electronics,1988,English,Catalogue,,2014.10.50,,
[Jameco Electronics Catalogue 1989],Printed Matter,Magazine,Jameco Electronics Catalogue 1989,,,,Jameco Electronics,1989,English,Catalogue,,2014.10.51,,
[Jameco Electronics Catalogue 1991],Printed Matter,Magazine,Jameco Electronics Catalogue 1991,,,,Jameco Electronics,1991,English,Catalogue,,2014.10.52,,
[Jameco Electronics Catalogue 1993],Printed Matter,Magazine,Jameco Electronics Catalogue 1993,,,,Jameco Electronics,1993,English,Catalogue,,2014.10.53,,
[JDR Microdevices 1993 #28],Printed Matter,Magazine,JDR Microdevices 1993 #28,,,,JDR Microdevices,1993,English,Catalogue,,2014.10.55,,
[JDR Microdevices 1993 #34],Printed Matter,Magazine,JDR Microdevices 1993 #28,,,,JDR Microdevices,1993,English,Catalogue,,2014.10.56,,
[JDR Microdevices 1997 #64],Printed Matter,Magazine,JDR Microdevices 1997 #64,,,,JDR Microdevices,1997,English,Catalogue,,2014.10.57,,
"[Literary & Linguistic Computing - Volume 2\, Number 3 - 1987]",Printed Matter,Journal,"Literary & Linguistic Computing - Volume 2\, Number 3 - 1987",N/A,Gordon Dixon,N/A,Oxford University Press,1987,English,Computer Magazine,ISSN 0268-1145,2013.07.808,,
"[Literary & Linguistic Computing - Volume 3\, Number 2 - 1988]",Printed Matter,Journal,"Literary & Linguistic Computing - Volume 3\, Number  - 1988",N/A,Gordon Dixon,N/A,Oxford University Press,1988,English,Computer Magazine,ISSN 0268-1145,2013.07.806,,
"[Literary & Linguistic Computing - Volume 3\, Number 3 - 1988]",Printed Matter,Journal,"Literary & Linguistic Computing - Volume 3\, Number 3 - 1988",N/A,Gordon Dixon,N/A,Oxford University Press,1988,English,Computer Magazine,ISSN 0268-1145,2013.07.807,,
"[Literary & Linguistic Computing - Volume 4\, Number 1 - 1989]",Printed Matter,Journal,"Literary & Linguistic Computing - Volume 4\, Number 1 - 1989",N/A,Gordon Dixon,N/A,Oxford University Press,1989,English,Computer Magazine,ISSN 0268-1145,2013.07.804,,
"[Literary & Linguistic Computing - Volume 4\, Number 2 - 1989]",Printed Matter,Journal,"Literary & Linguistic Computing - Volume 4\, Number 2 - 1989",N/A,Gordon Dixon,N/A,Oxford University Press,1989,English,Computer Magazine,ISSN 0268-1145,2013.07.819,,
"[Literary & Linguistic Computing - Volume 4\, Number 4 - 1989]",Printed Matter,Journal,"Literary & Linguistic Computing - Volume 4\, Number 4 - 1989",N/A,Gordon Dixon,N/A,Oxford University Press,1989,English,Computer Magazine,ISSN 0268-1145,2013.07.805,,
"[Literary & Linguistic Computing - Volume 5\, Number 1 - 1990]",Printed Matter,Journal,"Literary & Linguistic Computing - Volume 5\, Number 1 - 1990",N/A,Gordon Dixon,N/A,Oxford University Press,1990,English,Computer Magazine,ISSN 0268-1145,2013.07.818,,
[The MACazine - Premiere Issue - December 1984],Printed Matter,Magazine,The MACazine - Premiere Issue - December 1984,N/A,John D. Buquoi,N/A,Icon Concepts Corporation,1984,English,Computer Magazine,N/A,2013.10.96,Brad Feld,
[The Macintosh Buyer’s Guide - Premiere Issue - Winter 1984],Printed Matter,Magazine,The Macintosh Buyer’s Guide - Premiere Issue - Winter 1984,N/A,Ted Leonsis,N/A,Redgate Publishing Company,1984,English,Computer Buyer’s Guide,N/A,2013.10.32,Brad Feld,
[Macintosh Update Coupons],Printed Matter,Manual,Macintosh Update Coupons,N/A,N/A,N/A,N/A,N/A,English,Computer Update Coupons,N/A,2013.10.36,Brad Feld,Various coupons in envelope.
[Macworld (Clippings from Various Issues)],Printed Matter,Magazine,Macworld (Clippings from Various Issues),N/A,N/A,N/A,PC World Communications,N/A,English,Computer Magazine (Clippings),N/A,2013.10.44,Brad Feld,Clippings from multiple issues. Combined in legal folder.
"[Macworld: Volume 1\, No. 1]",Printed Matter,Magazine,"Volume 1\, No. 1",N/A,Andrew Fluegelman,N/A,"PC World Communications\, Inc.",1984,English,Magazine,ISSN 0741-8647,2015.09.26,,
"[Macworld - Volume 1\, Number 2 - May/June 1984]",Printed Matter,Magazine,"Macworld - Volume 1\, Number 2 - May/June 1984",N/A,Andrew Fluegelman,N/A,PC World Communications,1984,English,Computer Magazine,ISSN 0741-8647,2013.10.25,Brad Feld,
"[Macworld - Volume 2\, Number 1 - January 1985]",Printed Matter,Magazine,"Macworld - Volume 2\, Number 1 - January 1985",N/A,Kearney Rietmann,N/A,PC World Communications,1985,English,Computer Magazine,ISSN 0741-8647,2013.10.24,Brad Feld,
"[Macworld - Volume 2\, Number 2 - February 1985]",Printed Matter,Magazine,"Macworld - Volume 2\, Number 2 - February 1985",N/A,Kearney Rietmann,N/A,PC World Communications,1985,English,Computer Magazine,ISSN 0741-8647,2013.10.23,Brad Feld,
"[Macworld - Volume 2\, Number 3 - March 1985]",Printed Matter,Magazine,"Macworld - Volume 2\, Number 3 - March 1985",N/A,Kearney Rietmann,N/A,PC World Communications,1985,English,Computer Magazine,ISSN 0741-8647,2013.10.22,Brad Feld,
"[Macworld - Volume 2\, Number 5 - May 1985]",Printed Matter,Magazine,"Macworld - Volume 2\, Number 5 - May 1985",N/A,Kearney Rietmann,N/A,PC World Communications,1985,English,Computer Magazine,ISSN 0741-8647,2013.10.21,Brad Feld,
"[Macworld - Volume 2\, Number 6 - June 1985]",Printed Matter,Magazine,"Macworld - Volume 2\, Number 6 - June 1985",N/A,Kearney Rietmann,N/A,PC World Communications,1985,English,Computer Magazine,ISSN 0741-8647,2013.10.20,Brad Feld,
"[Macworld - Volume 2\, Number 7 - July 1985]",Printed Matter,Magazine,"Macworld - Volume 2\, Number 7 - July 1985",N/A,Kearney Rietmann,N/A,PC World Communications,1985,English,Computer Magazine,ISSN 0741-8647,2013.10.19,Brad Feld,
"[Macworld - Volume 2\, Number 8 - August 1985]",Printed Matter,Magazine,"Macworld - Volume 2\, Number 8 - August 1985",N/A,Kearney Rietmann,N/A,PC World Communications,1985,English,Computer Magazine,ISSN 0741-8647,2013.10.18,Brad Feld,
"[Macworld - Volume 2\, Number 10 - October 1985]",Printed Matter,Magazine,"Macworld - Volume 2\, Number 10 - October 1985",N/A,Kearney Rietmann,N/A,PC World Communications,1985,English,Computer Magazine,ISSN 0741-8647,2013.10.17,Brad Feld,
"[Macworld - Volume 2\, Number 11 - November 1985]",Printed Matter,Magazine,"Macworld - Volume 2\, Number 11 - November 1985",N/A,Kearney Rietmann,N/A,PC World Communications,1985,English,Computer Magazine,ISSN 0741-8647,2013.10.16,Brad Feld,
"[Microcomputing: Volume VI\, No. 4]",Printed Matter,Magazine,"Volume VI\, No. 4",N/A,Wayne Green,N/A,Wayne Green,1982,English,Computer Magazine,0192-4575,2015.09.25,,
[Micro Marketworld],Printed Matter,Magazine,Micro Marketworld,N/A,N/A,Osborne,CW Communications,1984,English,Computer Magazine,N/A,2013.07.761,,“This is the first Osborne newsletter to our customers of record.”
"[ON THREE - Volume 1\, Number 1 - January 1983]",Printed Matter,Magazine,"ON THREE - Volume 1\, Number 1 - January 1983",N/A,Bob Consorti,N/A,ON THREE,1983,English,Computer Magazine,N/A,2013.07.389,Keith Moore,
"[ON THREE - Volume 1\, Number 2 - February-March 1983]",Printed Matter,Magazine,"ON THREE - Volume 1\, Number 2 - February-March 1983",N/A,Bob Consorti,N/A,ON THREE,1983,English,Computer Magazine,N/A,2013.07.390,Keith Moore,
"[ON THREE - Volume 1\, Number 3 - April-May 1983]",Printed Matter,Magazine,"ON THREE - Volume 1\, Number 3 - April-May 1983",N/A,Bob Consorti,N/A,ON THREE,1983,English,Computer Magazine,N/A,2013.07.391,Keith Moore,
"[ON THREE - Volume 1\, Number 4 - June-July 1983]",Printed Matter,Magazine,"ON THREE - Volume 1\, Number 4 - June-July 1983",N/A,Bob Consorti,N/A,ON THREE,1983,English,Computer Magazine,N/A,2013.07.392,Keith Moore,
"[ON THREE - Volume 2\, Number 1]",Printed Matter,Magazine,"ON THREE - Volume 2\, Number 1",N/A,Bob Consorti,N/A,ON THREE,1984,English,Computer Magazine,N/A,2013.07.393,Keith Moore,
"[PC Tech Journal - Vol. 3\, No. 9 - September 1985]",Printed Matter,Magazine,"PC Tech Journal - Vol. 3\, No. 9 - September 1985",N/A,Will Fastie,N/A,Ziff-Davis,1985,English,Computer Magazine,ISSN 0738-0194,2013.10.26,Brad Feld,
"[PC Tech Journal - Vol. 3\, No. 10 - October 1985]",Printed Matter,Magazine,"PC Tech Journal - Vol. 3\, No. 10 - October 1985",N/A,Will Fastie,N/A,Ziff-Davis,1985,English,Computer Magazine,ISSN 0738-0194,2013.10.51,Brad Feld,
[PC World - October 1985],Printed Matter,Magazine,PC World - October 1985,N/A,Harry Miller,N/A,PC World Communications,1985,English,Computer Magazine,ISSN 0737-8939,2013.10.27,Brad Feld,
"[PC World - Volume 1\, Number 1]",Printed Matter,Magazine,"PC World - Volume 1\, Number 1",N/A,David H. Bunnell,N/A,"PC World Communications\, Inc.",1983,English,Computer Magazine,N/A,2013.07.821,,
"[PC World - Volume 1\, Number 2]",Printed Matter,Magazine,"PC World - Volume 1\, Number 2",N/A,David H. Bunnell,N/A,"PC World Communications\, Inc.",1983,English,Computer Magazine,N/A,2013.07.820,,
"[PC World - Volume 1\, Number 3]",Printed Matter,Magazine,"PC World - Volume 1\, Number 3",N/A,David H. Bunnell,N/A,"PC World Communications\, Inc.",1983,English,Computer Magazine,N/A,2013.07.824,,
"[PC World - Volume 1\, Number 4]",Printed Matter,Magazine,"PC World - Volume 1\, Number 4",N/A,David H. Bunnell,N/A,"PC World Communications\, Inc.",1983,English,Computer Magazine,N/A,2013.07.823,,
"[PC World - Volume 1\, Number 5]",Printed Matter,Magazine,"PC World - Volume 1\, Number 5",N/A,David H. Bunnell,N/A,"PC World Communications\, Inc.",1983,English,Computer Magazine,N/A,2013.07.822,,
"[PC: The Independent Guide to IBM Personal Computers - Volume 4\, Number 23 - November 12\, 1985]",Printed Matter,Magazine,"The Independent Guide to IBM Personal Computers - Volume 4\, Number 23 - November 12\, 1985",N/A,Bill Machrone,N/A,PC Communications Corp,1985,English,Computer Magazine,ISSN 0745-2500,2013.10.33,Brad Feld,
"[Perspectives in Computing - Volume 1\, Number 1 - February 1981]",Printed Matter,Journal,"Perspectives in Computing - Volume 1\, Number 1 - February 1981",N/A,Donald T. Sanders,N/A,IBM,1981,English,Computer Magazine,ISSN 0273-4621,2013.07.809,,
"[Perspectives in Computing - Volume 1\, Number 2 - April 1981]",Printed Matter,Journal,"Perspectives in Computing - Volume 1\, Number 2 - April 1981",N/A,Donald T. Sanders,N/A,IBM,1981,English,Computer Magazine,ISSN 0273-4621,2013.07.810,,
